@relation energy-efficiency-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Standardize

@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute V8 numeric
@attribute y1 numeric

@data
2.040447,-1.784712,-0.561586,-1.469119,0.999349,-1.340767,-1.7593,-1.813393,7
2.040447,-1.784712,-0.561586,-1.469119,0.999349,-0.446922,-1.7593,-1.813393,7
2.040447,-1.784712,-0.561586,-1.469119,0.999349,0.446922,-1.7593,-1.813393,7
2.040447,-1.784712,-0.561586,-1.469119,0.999349,1.340767,-1.7593,-1.813393,7
1.284142,-1.228438,0,-1.197897,0.999349,-1.340767,-1.7593,-1.813393,12
1.284142,-1.228438,0,-1.197897,0.999349,-0.446922,-1.7593,-1.813393,12
1.284142,-1.228438,0,-1.197897,0.999349,0.446922,-1.7593,-1.813393,12
1.284142,-1.228438,0,-1.197897,0.999349,1.340767,-1.7593,-1.813393,11
0.90599,-0.950301,-0.561586,-0.655453,0.999349,-1.340767,-1.7593,-1.813393,11
0.90599,-0.950301,-0.561586,-0.655453,0.999349,-0.446922,-1.7593,-1.813393,11
0.90599,-0.950301,-0.561586,-0.655453,0.999349,0.446922,-1.7593,-1.813393,10
0.90599,-0.950301,-0.561586,-0.655453,0.999349,1.340767,-1.7593,-1.813393,9
0.527838,-0.672164,0,-0.655453,0.999349,-1.340767,-1.7593,-1.813393,8
0.527838,-0.672164,0,-0.655453,0.999349,-0.446922,-1.7593,-1.813393,8
0.527838,-0.672164,0,-0.655453,0.999349,0.446922,-1.7593,-1.813393,8
0.527838,-0.672164,0,-0.655453,0.999349,1.340767,-1.7593,-1.813393,7
0.244223,-0.394027,0.561586,-0.655453,0.999349,-1.340767,-1.7593,-1.813393,19
0.244223,-0.394027,0.561586,-0.655453,0.999349,-0.446922,-1.7593,-1.813393,20
0.244223,-0.394027,0.561586,-0.655453,0.999349,0.446922,-1.7593,-1.813393,20
0.244223,-0.394027,0.561586,-0.655453,0.999349,1.340767,-1.7593,-1.813393,19
-0.039391,-0.11589,2.246342,-1.197897,0.999349,-1.340767,-1.7593,-1.813393,15
-0.039391,-0.11589,2.246342,-1.197897,0.999349,-0.446922,-1.7593,-1.813393,14
-0.039391,-0.11589,2.246342,-1.197897,0.999349,0.446922,-1.7593,-1.813393,15
-0.039391,-0.11589,2.246342,-1.197897,0.999349,1.340767,-1.7593,-1.813393,14
