@relation energy-efficiency-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute V8 numeric
@attribute y1 numeric

@data
1,0,0.285714,0,1,0,0,0,7
1,0,0.285714,0,1,0.333333,0,0,7
1,0,0.285714,0,1,0.666667,0,0,7
1,0,0.285714,0,1,1,0,0,7
0.777778,0.166667,0.428571,0.111111,1,0,0,0,12
0.777778,0.166667,0.428571,0.111111,1,0.333333,0,0,12
0.777778,0.166667,0.428571,0.111111,1,0.666667,0,0,12
0.777778,0.166667,0.428571,0.111111,1,1,0,0,11
0.666667,0.25,0.285714,0.333333,1,0,0,0,11
0.666667,0.25,0.285714,0.333333,1,0.333333,0,0,11
0.666667,0.25,0.285714,0.333333,1,0.666667,0,0,10
0.666667,0.25,0.285714,0.333333,1,1,0,0,9
0.555556,0.333333,0.428571,0.333333,1,0,0,0,8
0.555556,0.333333,0.428571,0.333333,1,0.333333,0,0,8
0.555556,0.333333,0.428571,0.333333,1,0.666667,0,0,8
0.555556,0.333333,0.428571,0.333333,1,1,0,0,7
0.472222,0.416667,0.571429,0.333333,1,0,0,0,19
0.472222,0.416667,0.571429,0.333333,1,0.333333,0,0,20
0.472222,0.416667,0.571429,0.333333,1,0.666667,0,0,20
0.472222,0.416667,0.571429,0.333333,1,1,0,0,19
0.388889,0.5,1,0.111111,1,0,0,0,15
0.388889,0.5,1,0.111111,1,0.333333,0,0,14
0.388889,0.5,1,0.111111,1,0.666667,0,0,15
0.388889,0.5,1,0.111111,1,1,0,0,14
0.333333,0.583333,0,1,0,0,0,0,34
0.333333,0.583333,0,1,0,0.333333,0,0,34
0.333333,0.583333,0,1,0,0.666667,0,0,34
0.333333,0.583333,0,1,0,1,0,0,34
0.25,0.666667,0.142857,1,0,0,0,0,34
0.25,0.666667,0.142857,1,0,0.333333,0,0,34
0.25,0.666667,0.142857,1,0,0.666667,0,0,34
0.25,0.666667,0.142857,1,0,1,0,0,34
0.194444,0.75,0.285714,1,0,0,0,0,35
